compra	comprar+V+PRS+3+SG
vendo	vender+V+PRS+1+SG
vendes	vender+V+PRS+2+SG
vendemos	vender+V+PRS+1+PL
vendem	vender+V+PRS+3+PL
vendeis	vender+V+PRS+2+PL
vende	vender+V+PRS+3+SG
compraríeis	comprar+V+COND+2+PL
compraríamos	comprar+V+COND+1+PL
comprarias	comprar+V+COND+2+SG
comprariam	comprar+V+COND+3+PL
compraria	comprar+V+COND+1+SG
compraria	comprar+V+COND+3+SG
venderíeis	vender+V+COND+2+PL
venderíamos	vender+V+COND+1+PL
venderias	vender+V+COND+2+SG
venderiam	vender+V+COND+3+PL
venderia	vender+V+COND+1+SG
venderia	vender+V+COND+3+SG
compráveis	comprar+V+IMPF+2+PL
comprávamos	comprar+V+IMPF+1+PL
compravas	comprar+V+IMPF+2+SG
compravam	comprar+V+IMPF+3+PL
comprava	comprar+V+IMPF+1+SG
comprava	comprar+V+IMPF+3+SG
vendíeis	vender+V+IMPF+2+PL
vendíamos	vender+V+IMPF+1+PL
vendias	vender+V+IMPF+2+SG
vendiam	vender+V+IMPF+3+PL
vendia	vender+V+IMPF+1+SG
vendia	vender+V+IMPF+3+SG
comprarão	comprar+V+FUT+3+PL
comprarás	comprar+V+FUT+2+SG
comprará	comprar+V+FUT+3+SG
compraremos	comprar+V+FUT+1+PL
comprareis	comprar+V+FUT+2+PL
comprarei	comprar+V+FUT+1+SG
venderão	vender+V+FUT+3+PL
venderás	vender+V+FUT+2+SG
venderá	vender+V+FUT+3+SG
venderemos	vender+V+FUT+1+PL
vendereis	vender+V+FUT+2+PL
venderei	vender+V+FUT+1+SG
